EDUC,EXPE,EDSUP,MUJER,SALARIO
6,51,0,0,6.814942
10,33,0,1,7.240459
10,12,0,0,9.954426
10,18,0,1,7.531282
12,10,0,0,15.03233
10,33,0,0,8.635691
15,13,1,1,17.32184
10,21,0,1,6.586243
10,13,0,0,14.97724
6,32,0,1,5.775172
12,25,0,1,4.907433
12,21,0,0,9.665554
6,25,0,0,4.246552
12,12,0,0,8.247759
10,23,0,1,35.3919
15,23,1,0,9.625805
6,38,0,0,8.608621
6,38,0,1,8.444828
10,26,0,0,10.3973
6,35,0,0,11.5196
15,15,1,1,19.52197
17,6,1,0,34.71652
6,40,0,0,12.4558
6,49,0,0,16.83908
10,42,0,0,9.471219
10,22,0,1,7.069196
17,24,1,1,8.448276
17,11,1,1,19.15707
17,15,1,0,19.70577
12,20,0,0,17.54569
14,8,0,1,6.181437
10,24,0,0,11.74557
6,15,0,0,9.611667
10,27,0,0,10.78126
6,48,0,1,7.453876
6,19,0,0,9.225115
10,39,0,0,10.24379
10,43,0,0,12.61046
12,15,0,0,8.236264
6,19,0,0,25.9353
10,12,0,0,11.1504
12,6,0,1,11.59473
10,47,0,0,21.01034
14,15,0,0,6.375966
10,37,0,0,14.32862
10,17,0,1,3.74069
12,12,0,0,7.640287
12,20,0,0,13.50489
12,24,0,1,8.481494
15,13,1,1,7.836896
12,30,0,1,6.449828
17,13,1,1,10.65667
17,4,1,1,7.957184
10,17,0,0,11.25264
10,46,0,0,13.74069
6,24,0,0,5.229264
10,33,0,0,13.51676
12,39,0,0,11.13037
0,29,0,1,14.58558
6,26,0,1,4.793103
12,22,0,1,7.407874
14,21,0,0,18.96315
14,2,0,1,7.194789
12,31,0,1,11.27325
12,37,0,1,7.271975
12,10,0,0,4.218391
15,8,1,1,10.15172
15,40,1,1,27.92667
17,13,1,0,11.76841
14,22,0,1,12.85576
10,18,0,1,12.25782
14,4,0,1,14.65517
17,15,1,0,22.07828
12,20,0,0,18.31615
6,31,0,1,7.427873
10,27,0,1,5.372069
10,14,0,0,9.902356
15,3,1,1,8.178276
14,16,0,1,5.484089
12,8,0,1,40.4754
17,3,1,1,8.95592
14,20,0,1,7.104184
15,3,1,0,7.834081
17,14,1,1,4.374195
10,9,0,0,5.831897
10,21,0,0,13.58299
10,6,0,0,4.865517
14,43,0,1,7.96384
6,34,0,0,7.348276
10,38,0,1,7.135515
10,43,0,1,6.875744
10,14,0,0,16.68217
14,16,0,0,11.90669
6,24,0,1,5.469828
15,17,1,1,14.67914
14,7,0,0,12.03037
12,12,0,1,7.253793
17,11,1,1,15.48146
12,24,0,1,5.065024
12,37,0,0,23.2219
6,28,0,0,5.380805
10,28,0,0,6.532989
10,17,0,1,7.600574
17,21,1,0,17.70115
12,15,0,1,4.929195
12,32,0,0,17.9452
17,6,1,0,18.82103
15,10,1,1,14.93534
10,21,0,1,9.127586
17,34,1,0,45.88998
10,27,0,0,8.007172
10,41,0,0,16.77138
12,8,0,1,6.988505
17,2,1,1,6.818155
17,13,1,1,10.39558
14,10,0,0,8.339943
6,41,0,0,8.235229
17,4,1,1,11.09596
17,23,1,1,24.64893
17,3,1,0,7.972644
14,11,0,0,6.773391
12,5,0,0,10.35925
10,21,0,1,5.975326
12,21,0,0,6.680115
17,7,1,0,14.04345
15,14,1,0,20.28316
14,17,0,1,11.60769
14,13,0,0,13.0535
10,25,0,1,5.734253
17,13,1,0,25.8219
10,34,0,0,8.520128
17,10,1,1,8.496552
15,13,1,1,14.57849
12,27,0,0,21.62846
17,6,1,1,7.960058
12,12,0,1,7.715
12,35,0,0,10.67988
12,37,0,1,7.132529
17,7,1,0,6.545345
14,32,0,1,14.05204
17,5,1,0,16.64828
10,38,0,0,6.658276
17,10,1,0,20.73946
15,21,1,1,24.35353
0,26,0,1,8.900548
15,11,1,1,12.57694
6,19,0,0,7.752357
10,35,0,0,10.11006
15,19,1,0,16.06627
10,23,0,1,3.529253
15,35,1,0,5.606437
17,8,1,1,7.580733
12,14,0,1,7.909253
17,12,1,1,10.13351
12,32,0,0,10.11535
6,26,0,1,5.955575
17,13,1,1,9.587127
12,26,0,1,6.24953
6,33,0,0,6.189137
12,19,0,0,13.28726
6,27,0,0,8.300517
14,34,0,0,20.56373
15,26,1,1,11.25695
12,30,0,0,7.777874
17,2,1,1,15.78693
10,18,0,0,8.976768
12,17,0,0,9.557677
12,0,0,0,6.517816
10,18,0,0,7.113276
12,20,0,1,8.158333
17,22,1,0,9.479655
14,23,0,1,10.57414
6,30,0,0,12.6069
12,14,0,0,6.609195
12,23,0,0,21.72511
6,19,0,0,9.847127
12,22,0,0,10.04282
10,33,0,0,7.083679
12,34,0,1,26.35935
17,10,1,1,15.30805
15,19,1,0,15.98841
12,19,0,1,5.816617
6,36,0,1,5.518793
17,16,1,1,8.033139
14,19,0,0,11.95678
10,35,0,0,9.411092
14,25,0,0,12.43983
10,6,0,0,12.94029
17,9,1,1,20.31936
6,22,0,0,4.893965
10,19,0,0,9.780633
12,21,0,1,10.23356
10,11,0,1,10.1123
17,5,1,1,8.620689
12,28,0,0,10.63626
12,20,0,1,4.828191
15,19,1,0,11.32408
10,40,0,0,12.67489
12,6,0,1,9.442701
14,13,0,0,16.72031
12,10,0,0,8.002356
15,9,1,1,7.835575
14,15,0,0,11.8106
10,20,0,1,7.479007
10,24,0,1,7.92977
6,10,0,0,6.729011
18,29,1,0,10.85977
12,10,0,1,9.603333
6,20,0,0,13.51115
10,18,0,1,6.601469
17,24,1,0,33.72078
12,59,0,0,48.89072
12,21,0,1,11.73713
10,34,0,0,14.33155
15,2,1,0,14.25905
6,34,0,1,11.00931
10,35,0,1,8.752931
12,28,0,1,9.635977
10,36,0,0,8.792362
10,20,0,1,6.498851
12,22,0,0,6.270402
6,34,0,0,6.009253
17,5,1,0,10.18318
15,11,1,0,11.69103
10,18,0,0,7.340575
15,37,1,0,37.58437
12,30,0,0,20.69971
14,11,0,1,10.46132
14,25,0,1,5.933276
14,11,0,0,20.44699
6,51,0,0,11.85517
15,7,1,0,8.514655
10,9,0,1,6.036973
10,20,0,1,8.575137
14,21,0,0,20.48635
10,34,0,0,8.661551
6,43,0,0,6.925862
10,26,0,0,8.933999
15,43,1,0,11.34012
15,25,1,0,17.97046
15,23,1,0,18.04529
12,24,0,0,10.09642
17,32,1,1,30.65753
10,16,0,1,13.2931
14,9,0,0,6.525001
15,13,1,1,11.08379
10,29,0,1,7.089311
14,15,0,0,9.704521
12,10,0,1,5.823342
17,15,1,1,25.29156
10,27,0,1,5.457989
6,20,0,0,7.44157
6,39,0,1,5.132357
10,11,0,0,10.85057
14,18,0,0,12.25678
15,33,1,0,89.45664
12,28,0,0,11.71745
10,20,0,1,10.99126
10,12,0,0,6.484598
17,35,1,0,59.34102
6,24,0,1,5.279885
14,26,0,1,9.063356
15,18,1,1,22.55366
12,21,0,1,8.964495
10,26,0,0,6.003428
12,19,0,1,18.77339
12,15,0,0,11.55609
12,7,0,1,6.733124
10,7,0,0,5.980604
10,21,0,1,6.769483
17,5,1,1,12.16954
17,26,1,1,15.57431
6,12,0,0,8.198564
12,24,0,1,8.735
6,37,0,1,4.695287
12,18,0,1,5
10,19,0,0,7.165345
12,8,0,1,6.368621
14,13,0,0,16.04063
17,9,1,1,17.25862
12,35,0,0,13.4438
10,29,0,1,12.98874
14,6,0,0,10.61437
12,13,0,0,8.450104
6,15,0,0,7.806264
6,33,0,0,10.80519
12,20,0,0,9.432578
14,14,0,1,8.763944
12,10,0,0,11.78551
6,28,0,0,7.38339
6,30,0,0,10.15615
10,28,0,0,8.301179
17,33,1,1,27.12802
15,12,1,1,12.11207
14,9,0,1,5.749368
12,7,0,0,8.447299
14,21,0,1,10.6026
17,27,1,1,16.78785
15,22,1,1,13.11233
6,17,0,0,8.974311
10,29,0,0,16.95805
12,30,0,0,9.831436
17,12,1,1,13.23534
10,26,0,0,10.87391
17,22,1,0,32.42036
15,31,1,0,52.25115
17,4,1,1,10.34247
14,16,0,0,10.76828
15,19,1,1,17.59341
17,15,1,0,13.78793
6,19,0,0,8.043859
10,42,0,0,8.092701
17,8,1,1,9.299845
17,7,1,0,15.7908
14,16,0,1,10.12801
10,34,0,0,4.828966
10,27,0,1,4.744349
10,22,0,0,67.15615
10,33,0,1,5.323202
12,41,0,0,11.38741
6,24,0,0,8.686839
12,17,0,0,13.12068
12,36,0,0,22.26148
10,15,0,1,9.124712
10,39,0,1,14.50806
17,22,1,0,25.88345
10,20,0,1,7.113908
10,30,0,0,15.2696
15,17,1,0,15.06031
0,52,0,1,10.11742
17,22,1,1,19.85847
10,33,0,0,10.23563
12,36,0,1,15.56373
17,28,1,0,29.82035
6,26,0,1,5.059149
10,38,0,1,10.59046
15,11,1,1,8.268448
6,38,0,0,5.83954
10,36,0,1,11.75682
10,23,0,0,15.02661
17,15,1,0,38.46636
10,11,0,0,5.709196
12,27,0,0,15.30764
6,36,0,0,8.522874
17,13,1,1,6.562758
12,15,0,1,5.856149
6,27,0,0,6.496379
6,30,0,0,16.89356
15,15,1,1,8.435132
17,20,1,0,27.16891
17,9,1,0,8.997989
17,3,1,1,4.835
10,25,0,0,8.087602
17,10,1,1,17.10046
6,43,0,0,8.610043
6,32,0,0,10.14345
6,41,0,0,10.47764
6,27,0,1,7.062299
14,23,0,0,20.05103
17,6,1,0,18.29867
12,22,0,0,11.76701
10,21,0,1,6.530682
12,7,0,0,4.361741
15,24,1,1,6.79619
17,15,1,1,20.09615
10,33,0,0,8.300517
15,45,1,0,18.4619
12,13,0,1,10.23678
14,42,0,0,10.2633
6,26,0,1,6.061609
6,34,0,0,18.85695
10,13,0,1,6.564751
12,15,0,1,13.95506
17,9,1,1,15.70213
17,14,1,1,13.78526
12,21,0,1,7.175518
6,23,0,0,8.045518
10,6,0,0,11.45173
17,5,1,1,12.21264
14,45,0,0,73.20377
14,10,0,1,6.969748
17,11,1,1,18.05319
15,22,1,1,8.800722
12,14,0,0,9.92546
6,12,0,1,7.037213
10,18,0,1,8.025812
15,35,1,1,15.48619
14,7,0,0,4.741379
12,20,0,1,9.176386
12,38,0,0,20.93994
15,21,1,1,11.81534
12,10,0,0,11.48762
12,19,0,0,8.159368
